,ID,NAME,BIRTH_YEAR,THROWING_HAND,BEGIN,END
0,11080,세든  (Chris Seddon),1983,0,2013,2016
1,14581,오원석  (Won-Seok Oh),2001,0,2020,2024
2,10641,니퍼트  (Dustin Nippert),1981,1,2011,2018
3,10587,김혁민  (Hyuk-Min Kim),1987,1,2007,2018
4,10653,리즈  (Radhamés Liz),1983,1,2000,2013
5,11393,린드블럼  (Joshua William Josh Lindblom),1987,1,2015,2019
6,15143,벤자민  (Wes Benjamin),1993,0,2022,2024
7,14760,카펜터  (Ryan Nicholas Carpenter),1990,0,2021,2022
8,14610,브룩스  (Aaron Lee Brooks),1990,1,2020,2021
9,12992,브리검  (Jake Brigham),1988,1,2017,2021
10,13178,보니야  (Lisalverto Bonilla),1990,1,2018,2018
11,11081,레이예스  (Jo-Jo Reyes),1984,0,2013,2014
12,11410,김민우  (Min-Woo Kim),1995,1,2015,2024
13,13941,알칸타라  (Raul Alcántara),1992,1,2019,2024
14,10126,김광현  (Kwang-Hyun Kim),1988,0,2007,2024
15,13933,다익손  (Brock D. Dykxhoorn),1994,1,2019,2019
16,11090,류제국  (Je-Kuk Ryu),1983,1,2013,2019
17,11195,마틴  (John Dale Martin),1983,1,2014,2014
18,14999,스탁  (Robert Anthony Stock),1989,1,2022,2022
19,14600,소형준  (Hyung-Jun So),2001,1,2020,2024
20,10363,백정현  (Jung-Hyun Baek),1987,0,2007,2024
21,13938,서폴드  (Warwick Anthony Saupold),1990,1,2019,2023
22,13061,곽빈  (Been Gwak),1999,1,2018,2024
23,13091,안우진  (Woo-Jin An),1999,1,2017,2023
24,10828,유먼  (Shane Demond Youman),1979,0,2012,2015
25,10058,양현종  (Hyeon-Jong Yang),1988,0,2007,2024
26,12510,지크  (Ezekiel Stephen Zeke Spruill),1989,1,2016,2016
27,11149,신재영  (Jae-Young Shin),1989,1,2012,2022
28,10161,채병용  (Byung-Yong Chae),1982,1,2002,2019
29,13066,베렛  (Scott Logan Verrett),1990,1,2018,2018
30,10213,유희관  (Hee-Gwan Yoo),1986,0,2009,2021
31,14113,원태인  (Tae-In Won),2000,1,2019,2024
32,11217,리오단  (Cory S. Riordan),1986,1,2014,2016
33,13925,터너  (Jacob Edward Turner),1992,1,2019,2019
34,10425,금민철  (Min-Chul Kum),1986,0,2005,2021
35,11157,찰리  (Charles J. Shirek),1985,1,2013,2015
36,11103,밴덴헐크  (Rick VandenHurk),1985,1,2013,2015
37,14617,뷰캐넌  (David Andrew Buchanan),1989,1,2020,2023
38,15531,후라도  (Ariel Bolívar Jurado Agrazal),1996,1,2023,2024
39,13063,산체스  (Angel Luis Sanchez),1989,1,2018,2021
40,14751,미란다  (Ariel Miranda),1989,0,2021,2022
41,10909,임기영  (Gi-Yeong Im),1993,1,2012,2024
42,14759,폰트  (Wilmer Font Gomez),1990,1,2021,2022
43,15535,페디  (Erick James Fedde),1993,1,2023,2023
44,11113,이브랜드  (Dana James Eveland),1983,0,2013,2013
45,14583,핀토  (Ricardo  Pinto),1994,1,2020,2020
46,10521,옥스프링  (Chris Oxspring),1977,1,2007,2016
47,10217,이용찬  (Yong-Chan Lee),1989,1,2007,2024
48,15011,반즈  (Charlie Barnes),1995,0,2022,2024
49,10698,바티스타  (Denny M. Bautista Germán),1980,1,2011,2013
50,13156,최채흥  (Chae-Heung Choi),1995,0,2018,2024
51,10131,박종훈  (Jong-Hoon Park),1991,1,2009,2024
52,11308,고영표  (Yeong-Pyo Ko),1991,1,2014,2024
53,10783,문승원  (Seung-Won Moon),1989,1,2012,2024
54,10652,임찬규  (Chan-Gyu Im),1992,1,2011,2024
55,13064,아델만  (Timothy Max Adleman),1987,1,2018,2018
56,13068,샘슨  (Keyvius Sampson),1991,1,2018,2018
57,13085,신민혁  (Min-Hyuk Shin),1999,1,2018,2024
58,10844,밴헤켄  (Andy Van Hekken),1979,0,2012,2017
59,11345,루카스  (Lucas Harrell),1985,1,2014,2016
60,13942,쿠에바스  (William Enrique Cuevas Osorio),1990,1,2019,2024
