YEAR,RATE_2Seam,RATE_4Seam,RATE_Cutt,RATE_Curv,RATE_Slid,RATE_Chan,RATE_Sink,RATE_Fork,RATE_Knuc,RATE_Other,SPEED_2Seam,SPEED_4Seam,SPEED_Cutt,SPEED_Curv,SPEED_Slid,SPEED_Chan,SPEED_Sink,SPEED_Fork,SPEED_Knuc,SPEED_Other,WAR
2013,0,58.9,0.4,5.1,22.6,12.3,0,0,0,0.6,0,139.8,134,118.1,127.6,125.8,0,0,0,90.6,6.44
2015,0,60.9,0,4.2,20.6,13.2,0,0,0,1.1,0,137.9,0,120.1,127.3,122,0,0,0,0,1.57
2016,0.1,51.4,0,7.3,24,17.2,0,0,0,0,137,135.9,0,118.5,127.3,122.3,0,0,0,0,0.13
2020,0,55.1,0,9.6,27.8,7.5,0,0,0,0,0,138.5,0,116.1,125.1,127.9,0,0,0,0,-0.09
2021,0,47.3,0,2.8,36.4,13.5,0,0,0,0,0,139.4,0,116.8,129.6,128.5,0,0,0,0,-0.06
2022,0,46.6,0,9.2,30.7,13.5,0,0,0,0.1,0,143.1,0,116.2,134,131.8,0,0,0,0,1.78
2023,0.1,48.9,0,8,29.4,13.3,0,0,0,0.3,139.3,142.3,0,114.5,131.1,128.4,0,0,0,133,1.64
2013,1.9,56.3,0,7.4,16.6,17.6,0,0,0,0.1,142.9,146.3,0,119.6,129.3,132.8,0,0,0,116,2.49
2014,1.3,57.9,0,3.6,19.6,17.5,0,0,0,0.1,143.8,146.5,0,120,130,132,0,0,0,0,4.92
2015,0.8,57.6,0.1,4.3,20.7,15.9,0,0,0,0.6,144.6,146.5,143,119,130,133.4,0,0,0,0,1.21
2016,1.1,58.3,0,4.1,21,14.9,0,0.6,0,0.1,146.4,147.2,0,120.6,131.3,132.5,0,131.8,0,0,6.26
2017,0.5,54.6,0,4,23.8,17,0,0.1,0,0,143,146.8,0,117.5,129.5,131.8,0,133,0,0,4.15
2018,1.7,48.9,0,5.4,17.5,26.4,0,0,0,0,144.3,147.2,0,119.9,131.8,133.9,0,0,0,0,5.29
2013,1.1,61.4,0,4.9,12.4,0.3,0,18.8,0,1,140.3,143.8,139,119.7,133.6,133.5,0,133.9,0,127.9,0.85
2014,0.7,55.9,0,4.8,17.4,0,0,20.4,0,0.8,141.8,143.3,0,119.3,132.6,0,0,133,0,112.8,-0.57
2015,7.6,48.3,0.6,10.6,21.8,6.8,0,2.5,0,1.8,145.3,146.6,138.6,114.7,132.2,132.3,0,133.5,0,60.5,6.87
2016,9.4,47.9,3.6,6.1,19.3,6.1,0,7.6,0,0.1,144.1,146,139.6,116.1,132.6,131.4,0,131.9,0,131,3.65
2017,9.6,31.8,10.4,9.1,17.7,8.2,0,13.3,0,0,143.2,144.6,139,115.5,134.8,131.5,0,130.9,0,0,2.55
2018,15,32.3,21.3,10.9,5.9,4.7,0,9.8,0,0,143.6,146.1,138.5,116.5,135.7,132.6,0,132.8,0,0,5.99
2019,8.6,32.8,30,7.9,3.5,4.1,0,13.2,0,0,144.1,145.4,138,117.8,136.5,132.6,0,133.5,0,0,6.32
2022,0.1,45.4,3.5,12,28.4,10.2,0,0,0,0.3,139,143.8,138.5,121,131.6,131.6,0,0,0,132,3.1
2023,1.6,40.1,13.2,6.5,33.6,4.5,0,0,0,0.6,138.6,144.4,137.5,123.1,131,133,0,0,0,0,2.9
2021,0,42.9,0,8.3,33.6,15.1,0,0,0,0,0,144.4,0,121.1,130.6,130.9,0,0,0,0,2.79
2022,0,42.7,0,11.2,22.1,23.9,0,0,0,0,0,143.4,0,116.5,127.5,130.2,0,0,0,0,0.64
2020,32.4,16.1,0,6.2,26.3,19,0,0,0,0,148.5,149.8,0,128.6,138.9,136.2,0,0,0,0,7.93
2021,34.5,11.8,0,7.4,23.7,22.6,0,0,0,0,147.4,148.8,0,129.2,137.9,135.2,0,0,0,0,2.31
2017,32.1,18.1,0,12.8,29.2,0.5,0,7.3,0,0,143,144.6,0,123.3,133.1,135.5,0,134.7,0,0,3.79
2018,40.8,14.1,0,12.1,30,2.8,0,0.1,0,0,143.8,146,139,124,134.9,133.4,0,134.2,0,0,6.31
2019,41.6,9.4,0.8,20.6,19.3,7.2,0,1.1,0,0,145.3,146.6,139.6,125.4,138.2,134.6,0,133.3,0,0,4.72
2020,35.4,12.5,0.2,22.4,20.6,7.6,0,1.3,0,0.1,143.7,144.4,142,125.1,135.3,133,0,132.1,0,0,3.16
2021,48.3,2.5,0,18.9,21.1,2,0,7,0,0.1,142.4,143.4,0,122.3,134.7,132.2,0,132.7,0,0,1.67
2018,9.3,32.9,0,26.3,1,28.1,0,2.3,0,0,143.2,145.5,0,122,128.6,134.3,0,127.2,0,0,3.83
2013,3.6,53,5.7,6.3,25.7,5.2,0,0,0,0.4,145.2,146.9,141.6,126.5,135.2,134.4,0,0,0,0,2.32
2014,2.6,52.7,3.5,3.7,25.4,11.4,0.5,0.1,0,0.1,145.7,145.4,140.2,125.9,136.5,133.9,144.9,132,0,125,0.4
2015,0.1,62.2,0.1,16.3,14.7,0.4,0,2.2,0,4.1,140,139.4,131,107.5,127.9,126.8,0,126.4,0,114.4,0.85
2016,0,58.2,0,14.3,25.3,0,0,2.1,0,0,0,140.1,0,104.6,129.8,0,0,128.4,0,0,-0.45
2017,33.3,27.6,2.9,13.2,13.8,1.1,0,8,0,0,140.1,143.2,136.2,100.2,127.6,125,0,127.6,0,0,-0.29
2018,2.4,53.2,0.3,10.5,15.7,17.1,0,0.8,0,0,138.6,142.4,130.6,108.9,128.7,129.8,0,129.1,0,0,0.41
2019,25.5,20.1,0,16.2,14.9,0.3,0,22.9,0,0.2,138.2,141.4,0,113.2,128,126.7,0,131.5,0,0,-0.46
2020,1.2,47.2,0,15.6,1.9,0,0,34.1,0,0,141.5,142.4,0,113.9,129.3,0,0,129.7,0,0,3.11
2021,0,45.4,0,13.8,7.5,0,0,33.2,0,0,0,140.4,0,112.9,127.6,0,0,131.6,0,0,3.9
2022,0,46.5,0,17.1,8.6,0.4,0,27.2,0,0.2,0,141.3,0,114.5,125.3,132.9,0,131.8,0,0,3.09
2023,0,46.6,0,14.2,2.9,0,0,36.2,0,0.1,0,139.7,0,116.4,128.3,0,0,131.3,0,0,-0.46
2019,29.5,32.9,0,4.6,16.4,16.6,0,0.1,0,0,148.4,150.5,0,127.9,136.8,135.9,0,136,0,0,2.98
2020,8.8,51.6,0,1.6,20.8,1.2,0,15.9,0,0,150.5,151.6,0,127.7,138.6,137.8,0,137,0,0,8.98
2023,0,49.6,0,2.4,17.1,0.1,0,30.5,0,0.3,0,150.7,0,123.9,135.9,136.2,0,135.2,0,121,5.79
2013,0.3,48,0.2,9.6,35.9,4.6,0,0.9,0,0.5,140.1,145.7,139.8,114.5,134.7,126.7,0,129.8,0,0,1.79
2014,0.5,50.2,0,9.9,35,4.3,0,0,0,0.1,141.4,145.9,0,116.6,133.2,126.4,0,132,0,0,6.07
2015,0,51.5,0,10.4,31.7,3.6,0,0.7,0,2.1,0,144.4,142,114.3,131.7,126.5,0,130.1,0,122,5
2016,0.1,45.7,0.2,10.2,34.9,8.4,0,0,0,0.4,139,145,136.5,115.7,132.7,125.8,0,122,0,101,3.59
2018,2.4,43.1,0,8.8,43.9,1.8,0,0,0,0,134,147.3,0,115.7,136.3,130.4,131,0,0,0,6.22
2019,0,39.2,0,9.3,37.3,0,0,14.1,0,0,0,147.2,0,112.4,136.6,0,0,127.8,0,0,7.3
2022,0.1,27,0,12.2,38.4,1.7,0,20.4,0,0.2,141.2,145.4,0,114.7,135.2,131.6,0,129.5,0,133,6.44
2023,0,29.4,0,11.8,34.2,1,0,23.1,0,0.4,0,144.2,0,112.4,132.2,128.9,0,128.3,131,132,4.48
2013,19.1,41.6,0.9,17,2.9,18.3,0,0,0,0.3,142.4,144,141.6,117,132.4,130,0,0,0,108.6,2.99
2014,17.4,38.6,4.7,14.7,1,22.3,0.8,0,0,0.4,140.8,142.1,141.1,114.9,133.3,129.6,140.4,131,0,120.4,1.68
2015,10.1,45.1,2.2,15,6.9,18.6,0.3,0.3,0,1.3,140.5,142.4,138.2,114.4,130.9,129.6,142.9,131.4,0,128,3.3
2016,21.3,26.5,9.8,20,4,18.4,0,0,0,0,140.4,140.8,138.6,111.6,130.3,128.9,0,137,0,0,3.35
2017,10.2,22.5,23.3,19.9,0.3,23.8,0,0,0,0,138,138.5,137.1,108.7,131.3,127.3,0,0,0,0,1.24
2019,39.6,8.4,2.5,12.5,8.6,28.4,0,0,0,0,136,137.7,136.2,108.5,135.3,127.1,0,0,0,0,0.77
2014,14.3,28.4,14.1,8.6,17.8,16,0.1,0,0,0.6,137.2,138.2,134.1,117.9,132.2,125.7,135.5,127,0,126,3.52
2022,0.9,53.5,0,1.4,34.6,9.1,0,0.3,0,0.1,152.3,152.3,0,122.9,133.5,132.3,0,135.1,0,128,2.68
2020,37,12.5,0.4,6.9,17.9,25.2,0,0,0,0,141.4,143.4,138.4,120.4,135,129.5,0,0,0,0,3.24
2021,41.3,7.1,3.2,6.8,19.5,22,0,0,0,0.1,140.2,142.9,138.7,121,136.9,129.2,0,0,0,0,2.1
2022,38.8,0.6,3.7,9.7,27.3,19.8,0,0,0,0,143.3,141.7,140.2,122.6,140.9,131.1,0,0,0,0,4.7
2023,37,2.6,7.8,12.2,19.1,20.4,0,0,0,0.9,139.5,139.8,139.3,120,138.5,128.9,0,0,0,0,-0.19
2013,0,70,0,0,21.1,8.9,0,0,0,0,0,140.5,0,0,130.8,132.4,0,0,0,0,-0.11
2014,0,67.6,0,4.3,21.1,4.4,0,2.7,0,0,0,141.4,0,114.3,130.6,131.4,0,131,0,0,0.62
2015,1.5,67.5,0,5.2,18.3,3.9,0,1.2,0,2.3,138.6,141.1,0,113.1,129.7,129.2,0,131.8,0,126,0.16
2016,0.1,71.7,0,6,16.6,3.8,0,1.8,0,0,131,140.7,0,110.3,129.8,130.9,0,132.5,0,0,0.95
2017,0,59.1,0,5.3,16.4,19.2,0,0.1,0,0,0,138.3,0,109.1,129.1,129.4,0,129,0,0,3.28
2018,0,51.4,0,5.8,17.1,25.8,0,0,0,0,0,138.5,0,113.3,129.3,129.3,0,0,0,0,3.5
2019,0,47.9,0,7.9,20.3,23.8,0,0,0,0,0,137.3,0,110.3,129,129.4,0,0,0,0,2.99
2020,0,50,0,10.2,19.8,20,0,0,0,0,0,138.9,0,116.4,131,130.7,0,0,0,0,0.36
2021,8.1,43.7,0,5.8,24,18.4,0,0,0,0,133.8,136.6,0,114.7,127.3,129.2,0,0,0,0,6.15
2022,22.1,25.6,0,6.3,28.5,17.3,0,0.3,0,0,133,136.3,0,118.9,128.6,127.6,0,126.2,0,0,1.75
2023,0.9,40.3,0,5.7,30.5,22.5,0,0,0,0.1,131.8,136.3,0,118.9,124.9,124.7,0,0,0,0,3.09
2019,34.5,11.4,5.5,16.7,5.8,26,0,0,0,0,142.7,144.7,137.3,127,136.3,131.9,0,0,0,0,4.98
2020,32.7,11.3,1.3,12.6,17.3,24.8,0,0,0,0,140.6,142.4,139.2,128.2,135.5,129.7,0,0,0,0,2.19
2018,0.5,57.8,0,12,21.1,7.2,0,1.4,0,0,145.3,145.3,0,115.6,131,127.9,0,127.1,0,0,-0.51
2021,0,58.6,0,8.1,18.7,5.6,0,9,0,0,0,146.1,0,115.8,136.7,128.9,0,131.6,0,0,2.45
2022,0,46,0,11.4,24,9.4,0,9,0,0.2,0,147.6,0,118.4,137.2,130.5,0,133.9,0,0,3.53
2023,0,42.8,0,17.7,23.1,15.4,0,0,0,1,0,147.8,0,118.2,136.7,129.6,0,130,0,0,4.36
2018,0,58,0,8.7,31.4,1.9,0,0,0,0,0,148.4,0,123.4,137.2,132.1,0,0,0,0,-0.47
2019,0,51.2,0,12.8,31.3,4.6,0,0,0,0,0,147.2,0,125.1,137.5,133.2,0,0,0,0,0.44
2020,0,60.2,0,14.3,23.4,2,0,0,0,0,0,152.4,0,130.3,140.8,138.2,0,0,0,0,1
2021,0.1,52.5,0,17.3,24.1,5.9,0,0,0,0.1,156.5,151.5,0,127.4,140.5,134.3,0,0,0,0,2.73
